TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
5499,2102,img/10281.jpg,10281,28739,,93.71428571,34.42857143,83.28571429,107.5714286,99.77777778,92.22222222,118.2,94.4,106.75,113.4166667,-27.5948,1,1,1,1,0,1,4,0
5499,2102,img/10289.jpg,10289,28053,,328,37,586,664,786.7272727,441.1818182,,,829.4444444,526.1111111,,0,1,1,0,0,1,,0
5499,2102,img/10288.jpg,10288,27895,,278,296,341,320,489,409,571,403,538,494,,,,,1,0,1,,0
344,1592,img/8139.jpg,8139,26895,,3367.666667,490.6666667,264.3333333,332.6666667,3431.7,669.3,3497,659.3333333,3458.846154,717.6923077,-25.6064,1,1,1,0,1,1,,0
345,1592,img/8152.jpg,8152,28687,,2381.833333,813,294.3333333,340.1666667,2444.7,988.8,2492.5,988.2,2458.583333,1042.416667,-27.1731,1,1,1,1,1,1,4,0
346,1592,img/8146.jpg,8146,21810,,2471,408,313,391,2502,556,2539,551,2504,644,,,,,1,1,1,,0
347,1592,img/8181.jpg,8181,23626,,1753.714286,1011.285714,186.5714286,260.4285714,1839.666667,1150.888889,1896.727273,1150.727273,211,114,-0.09441,1,1,1,0,1,1,4,0
341,2638,img/34239.png,34239,60367,,507,132,475,523,864.2857143,373,943.1428571,370.7142857,,,35.1206,1,0,1,0,1,1,3,0
341,2638,img/34243.jpg,34243,60371,,1739,259,1163,1492,2124.833333,956.8333333,2529.5,968.75,,,0.520736,1,0,1,1,1,1,3,0
341,2638,img/34244.jpg,34244,60372,,428,244,538,661,563.2857143,627.1428571,707,558,664.3333333,705.6666667,-18.4963,1,0,1,1,1,1,3,0
341,2638,img/34245.jpg,34245,60373,,600,348,607,885,843.3333333,781.1666667,1061.2,819,,,7.04372,1,0,1,1,1,1,4,0
341,2638,img/34247.jpg,34247,60375,,1841,11,2114,2199,2948.2,597.8,3659.75,804.25,,,17.0973,0,0,1,1,1,1,3,0
341,2638,img/34250.jpg,34250,60378,,683,240,1065,1414,1166.166667,861.8333333,1555.2,967.8,,,19.2352,1,0,1,1,1,1,3,0
