TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
0,1673,img/8565.jpg,8565,27394,,3155,527,571,565,,,3290,807,3238.25,903.25,,1,1,1,1,1,4,4,0
0,1673,img/8559.jpg,8559,28222,,1188,460.125,166,205.875,1220.833333,573.5,1259.714286,561.2857143,1234.923077,614.8461538,,1,1,1,0,1,4,4,1
0,1673,img/8579.jpg,8579,27127,,573.4285714,252.5714286,125.1428571,161.4285714,622.2,340.8,664.6666667,337.6666667,647.1538462,370.3076923,0.11244,1,1,1,1,1,4,4,1
0,1673,img/8558.jpg,8558,26484,,102.25,73.25,200,257.5,196.6666667,199,265.8571429,196.7142857,243.3333333,246.8333333,7.89891,1,0,0,1,1,4,4,1
1,1673,img/8580.jpg,8580,29498,,84,9,107.2857143,140.5714286,124.4,90.6,167.2857143,88.71428571,147.6153846,119.5384615,-4.30583,1,1,1,1,1,4,4,0
2,1673,img/8563.JPG,8563,25812,,1802.142857,840.1428571,504.5714286,690.4285714,2078,1171.8,2247.571429,1184.285714,2187.909091,1307.454545,20.6034,1,1,1,1,1,4,,1
5,1673,img/8572.jpg,8572,26074,,556.1428571,430,413.8571429,441.2857143,885.6,676.4,,,932.8,766.9,,1,1,1,1,1,4,4,1
6,1673,img/8564.jpg,8564,30094,,1509,903.4285714,124.4285714,140,1581,981.8,1613.857143,980.1428571,1605.333333,1005.666667,23.0057,1,1,1,0,1,4,4,0
11,3273,img/36539.jpg,36539,71028,,1568,184,1241,1640,2122.5,1037.666667,2544.5,963,2431,1316,10.6387,1,1,1,1,1,1,3,3
11,3273,img/36546.jpg,36546,71051,,1265,475,1502,1735,1407,1237,1844.666667,1104.666667,,,-33.3524,1,1,1,1,1,1,2,3
12,3273,img/36541.jpg,36541,71046,,1912,338,1253,1521,2183.2,1006.2,2588.2,945.6,,,-11.7811,1,1,1,1,1,1,2,3
13,3273,img/36542.jpg,36542,71047,,38,24,168,233,115.6,151.8,179,151.4,,,7.20656,1,1,1,1,1,1,2,0
14,3273,img/36543.jpg,36543,71048,,113,111,576,768,325.4,494.8,543.4,497.4,,,12.3745,1,1,1,0,1,1,2,3
15,3273,img/36544.jpg,36544,71049,,113,44,1311,1710,711.2,947.6,1129,874,992.5,1189.25,14.3185,1,1,1,1,1,1,3,3
16,3273,img/36545.jpg,36545,71050,,1966,261,1235,1634,2231.166667,1068.666667,2626.666667,1152.666667,,,-9.69335,1,1,1,1,1,1,2,3
